,0
Fp1,0.014293910829693779
AF3,0.15432348338856988
F3,0.06748138810833709
F7,0.09183871209746663
FC5,0.2200963042133932
FC1,0.191982592446157
C3,0.20914098073968224
T7,0.1929766231904193
CP5,0.23109086081800823
CP1,0.10347332249055013
P3,0.20952819093578118
P7,0.08394351763618396
PO3,0.13589915258443114
O1,0.21212535158031204
Oz,0.07485963158956926
Pz,0.11477935404532835
Fp2,0.18319440124582753
AF4,0.10362200159266927
Fz,0.08849892877355942
F4,0.19945336439262418
F8,0.14541955111182703
FC6,0.20641049624722485
FC2,0.23842814373554988
Cz,0.11702852060404739
C4,0.059415171514972054
T8,0.14684733859154525
CP6,0.24063825263667915
CP2,0.2496332774304647
P4,0.21667836843642496
P8,0.1960960209752447
PO4,0.23590827737856357
O2,0.21879769433161478
