,0
Fp1,0.0007020712919580396
AF3,0.001741650416083651
F3,0.0029904017377905823
F7,0.0002983408636867413
FC5,0.0002962933899970932
FC1,0.00017851676340835398
C3,0.0009741478296850792
T7,0.011602269823566158
CP5,3.2834483497279354e-05
CP1,0.003035034731269759
P3,0.0016596260805028518
P7,0.004823054585149089
PO3,0.007391313232435137
O1,0.0010646130966108225
Oz,0.0011925450477110466
Pz,0.0030517789723509825
Fp2,0.0010823392943337118
AF4,0.000736986664242878
Fz,0.0021319770163011342
F4,1.8093080427217245e-05
F8,0.00211778352253561
FC6,0.006152746286244126
FC2,0.0018476182825253873
Cz,0.004517928748654754
C4,0.0034625231777007937
T8,0.002976891806222126
CP6,0.005315831799735271
CP2,0.0058897358039417536
P4,0.003391978397971507
P8,0.0052232465365109615
PO4,0.006088890711809181
O2,0.004755058758979691
